;OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Shape__Area;Shape__Length;Death
0;1;01;Schleswig-Holstein;Land;2896712;15;4255;1600120800000;01;fc5ba936-c95c-432c-8a33-9eb2f30b660f;146.890681572763;45737314116.8701;2881496.1295035;161
1;2;02;Hamburg;Freie und Hansestadt;1841179;6;6846;1600120800000;02;0f3e860c-5181-4d3f-a421-1d51f50315ea;371.826965221741;2089396054.82129;418800.187474072;268
2;3;03;Niedersachsen;Land;7982448;9;18023;1600120800000;03;3fd77024-c29b-4843-9be8-682ad48e60c9;225.78286761154;129983613598.973;4008988.2951652;667
3;4;04;Bremen;Freie Hansestadt;682986;5;2137;1600120800000;04;4132268b-54de-4327-ac1e-760e915112f1;312.890747394529;1119156745.43408;335717.737774516;59
4;5;05;Nordrhein-Westfalen;Land;17932651;10;62725;1600120800000;05;561d658f-3ee5-46e3-bc95-3528c6558ab9;349.780966573208;87829361998.0295;2648672.50917441;1834
5;6;06;Hessen;Land;6265809;7;16985;1600120800000;06;93277ac4-e8fc-48c7-8940-028dc2ed66af;271.074333737272;52359125900.6655;2148243.6201819;540
6;7;07;Rheinland-Pfalz;Land;4084844;11;9795;1600120800000;07;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;239.788838937301;47838767393.1633;1774430.12830596;247
7;8;08;Baden-Württemberg;Land;11069533;1;45323;1600120800000;08;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;409.439133520809;81517323536.8628;2544320.39805124;1868
8;9;09;Bayern;Freistaat;13076721;2;62401;1600120800000;09;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;477.191491659109;163485540875.077;3898617.90542911;2647
9;10;10;Saarland;Land;990509;12;3234;1600120800000;10;e3396a6f-8a30-4fdf-8df7-def77dd38bea;326.498800111862;6060691818.01318;562678.876124348;175
10;11;11;Berlin;Land;3644826;3;12354;1600120800000;11;c7033073-2bb0-486b-97af-5b3c639e7219;338.946221301099;2402458320.59863;363979.182407356;226
11;12;12;Brandenburg;Land;2511917;4;4016;1600120800000;12;b560af89-5895-4be4-96f8-0f581cd8a858;159.87789405462;79801970800.2686;2571385.42188057;169
12;13;13;Mecklenburg-Vorpommern;Land;1609675;8;1064;1600120800000;13;a27f5628-e790-45be-898d-f0a6841c0f7e;66.1002997499495;65873523064.0757;4131181.10875485;20
13;14;14;Sachsen;Freistaat;4077937;13;6430;1600120800000;14;256d2405-a7c8-4fec-93df-29f3c808cd25;157.677766968936;46626497892.9951;2048279.98573376;226
14;15;15;Sachsen-Anhalt;Land;2208321;14;2359;1600120800000;15;66106bbe-f04b-4f92-80e1-5b5b30da25b5;106.823238107141;54177007537.6553;1920386.52842308;66
15;16;16;Thüringen;Freistaat;2143145;16;3815;1600120800000;16;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;178.009420734481;40685205073.9761;2015719.49965031;189
